eval_returns_Average,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Initial_DataCollection_AverageReturn
829.0244,972.1382,3810.0,10.0,102.51219512195122,1180.0,1180.0,2360.0,0.0,114.5,45.0
1146.0,1298.6239,3890.0,0.0,118.94285714285714,145.0,65.0,210.0,80.0,49.0,45.0
832.381,1147.3962,4560.0,0.0,98.47619047619048,880.0,0.0,880.0,880.0,72.0,45.0
993.9474,1148.8656,3390.0,0.0,107.86842105263158,2020.0,0.0,2020.0,2020.0,164.0,45.0
1214.75,1279.488,3920.0,30.0,104.025,2220.0,0.0,2220.0,2220.0,118.0,45.0
754.25,751.2086,2540.0,0.0,102.925,445.0,245.0,690.0,200.0,69.5,45.0
1121.25,1419.4703,4360.0,0.0,103.6,550.0,0.0,550.0,550.0,78.0,45.0
1188.3721,1463.6049,5480.0,0.0,95.62790697674419,90.0,80.0,170.0,10.0,59.0,45.0
931.46344,1081.626,3270.0,0.0,100.82926829268293,2170.0,0.0,2170.0,2170.0,129.0,45.0
1106.6666,1295.3813,4760.0,0.0,100.71428571428571,1260.0,1260.0,2520.0,0.0,86.5,45.0
763.5897,670.76874,2130.0,0.0,105.38461538461539,480.0,320.0,800.0,160.0,70.5,45.0
983.4146,1152.4747,3160.0,20.0,103.26829268292683,455.0,175.0,630.0,280.0,70.5,45.0
